USC,483,52,12,219,26134,1696,Bruce Matthews,135,Marcus Allen,145,Bruce Matthews,296
LSU,325,50,3,91,17198,1389,Alan Faneca,113,Jim Taylor,93,Kevin Mawae,241
Miami (FL),318,48,6,163,18609,1665,Ray Lewis,158,Edgerrin James,91,Jeff Feagles,352
Florida St.,278,48,4,75,14743,913,Derrick Brooks,141,Fred Biletnikoff,77,Sebastian Janikowski,236
Alabama,316,47,7,89,15531,814,John Hannah,111,Shaun Alexander,112,Chris Mohr,239
Ohio St.,425,43,7,155,22247,1551,Paul Warfield,106,Cris Carter,131,Jim Marshall,282
Florida,292,43,2,67,15316,1263,Emmitt Smith,129,Emmitt Smith,175,Lomas Brown,263
Georgia,297,42,2,96,15803,1142,Fran Tarkenton,149,Hines Ward,86,John Kasay,301
Notre Dame,543,40,13,171,26673,1734,Alan Page,135,Tim Brown,105,John Carney,321
Wisconsin,301,36,4,58,13565,769,Mike Webster,116,Elroy Hirsch,66,Mike Webster,245
Stanford,244,36,3,63,11860,936,John Elway,138,James Lofton,76,John Elway,234
California,240,36,1,83,13770,798,Aaron Rodgers,103,Tony Gonzalez,111,Tony Gonzalez,270
Oregon,222,35,6,71,10781,551,Dan Fouts,122,Ahmad Rashad,46,George Martin,201
Oklahoma,337,34,3,75,14880,953,Troy Aikman,97,Adrian Peterson,91,Keith Traylor,229
Texas,298,34,3,98,15926,969,Steve McMichael,99,Priest Holmes,94,Phil Dawson,247
Tennessee,316,33,2,119,17831,1127,Peyton Manning,176,Stanley Morgan,73,Peyton Manning,256
Clemson,205,32,0,52,10292,652,Brian Dawkins,100,Terry Allen,79,Chris Gardocki,244
South Carolina,169,32,0,23,7472,574,John Abraham,90,Sterling Sharpe,66,John Abraham,192
Iowa,258,30,3,78,12093,638,Paul Krause,113,Dallas Clark,53,Reggie Roby,238
Penn St.,358,29,6,104,20057,1182,Jack Ham,113,Lenny Moore,113,Matt Bahr,235
Michigan,353,29,6,106,18592,1293,Tom Brady,152,Elroy Hirsch,66,Mike Kenn,251
Auburn,254,29,1,65,14321,838,Kevin Greene,94,James Brooks,79,Al Del Greco,248
Utah,147,29,1,35,6281,556,Steve Smith,100,Steve Smith,81,Steve Smith,198
Rutgers,102,29,0,12,3864,170,Deron Cherry,75,Ray Rice,43,Harry Swayne,186
North Carolina,219,28,2,61,12629,610,Lawrence Taylor,137,Ken Willard,62,Ethan Albright,236
Nebraska,349,27,5,79,17475,823,Will Shields,113,Irving Fryar,88,Irving Fryar,255
Illinois,271,27,5,58,13019,828,Ray Nitschke,94,Bobby Mitchell,91,Doug Dieken,203
Arizona St.,260,27,5,94,14276,1039,Randall McDaniel,119,Charley Taylor,90,Jim Jeffcoat,227
Missouri,184,27,2,43,7877,568,Justin Smith,98,James Wilder,47,Justin Smith,221
